#day	flux
1.21569352721012E+03	1.00735981250000E+06
1.21570033854189E+03	1.00758543750000E+06
1.21570714997367E+03	1.00735525000000E+06
1.21571396150546E+03	1.00718587500000E+06
1.21572077293727E+03	1.00747250000000E+06
1.21572758426907E+03	1.00718587500000E+06
1.21573439570089E+03	1.00768056250000E+06
1.21574120723271E+03	1.00756650000000E+06
1.21574801866455E+03	1.00738218750000E+06
1.21575483009640E+03	1.00765387500000E+06
1.21576164142825E+03	1.00741062500000E+06
1.21576845296012E+03	1.00747818750000E+06
1.21577526439200E+03	1.00742568750000E+06
1.21578207582388E+03	1.00698181250000E+06
1.21578888725577E+03	1.00698418750000E+06
1.21579569858767E+03	1.00711568750000E+06
1.21580251011958E+03	1.00724143750000E+06
1.21580932155150E+03	1.00727112500000E+06
1.21581613298343E+03	1.00718550000000E+06
1.21582294441538E+03	1.00725731250000E+06
1.21582975574732E+03	1.00708350000000E+06
1.21583656717927E+03	1.00715656250000E+06
1.21584337871124E+03	1.00717612500000E+06
1.21585019014323E+03	1.00732093750000E+06
1.21585700147521E+03	1.00706425000000E+06
1.21586381290721E+03	1.00726087500000E+06
1.21587062443922E+03	1.00709550000000E+06
1.21587743587123E+03	1.00717737500000E+06
1.21588424730325E+03	1.00700781250000E+06
1.21589105863528E+03	1.00729381250000E+06
1.21589787006733E+03	1.00697075000000E+06
1.21590468159938E+03	1.00720125000000E+06
1.21591149303145E+03	1.00703162500000E+06
1.21591830446352E+03	1.00691918750000E+06
1.21592511579560E+03	1.00721356250000E+06
1.21593192732768E+03	1.00697531250000E+06
1.21593873875977E+03	1.00706631250000E+06
1.21594555019189E+03	1.00704456250000E+06
1.21595236162400E+03	1.00712106250000E+06
1.21595917305614E+03	1.00699543750000E+06
1.21596598448827E+03	1.00665118750000E+06
1.21597279592042E+03	1.00719893750000E+06
1.21597960735257E+03	1.00724225000000E+06
1.21598641868473E+03	1.00730456250000E+06
1.21599323021690E+03	1.00727312500000E+06
1.21600004164909E+03	1.00704375000000E+06
1.21600685308128E+03	1.00703437500000E+06
1.21601366461349E+03	1.00715093750000E+06
1.21602047594570E+03	1.00702662500000E+06
1.21602728737791E+03	1.00695168750000E+06
1.21603409881014E+03	1.00704037500000E+06
1.21604091024238E+03	1.00673231250000E+06
1.21604772177463E+03	1.00688875000000E+06
1.21605453310688E+03	1.00693781250000E+06
1.21606134453915E+03	1.00691400000000E+06
1.21606815597143E+03	1.00704412500000E+06
1.21607496750371E+03	1.00705187500000E+06
1.21608177893601E+03	1.00725006250000E+06
1.21608859026831E+03	1.00723000000000E+06
1.21609540170062E+03	1.00702825000000E+06
1.21610221323295E+03	1.00723868750000E+06
1.21610902466528E+03	1.00729737500000E+06
1.21611583599761E+03	1.00715412500000E+06
1.21612264742996E+03	1.00722918750000E+06
1.21612945886232E+03	1.00711012500000E+06
1.21613627039469E+03	1.00715075000000E+06
1.21614308182707E+03	1.00713606250000E+06
1.21614989315945E+03	1.00729875000000E+06
1.21615670459185E+03	1.00718462500000E+06
1.21616351612427E+03	1.00735050000000E+06
1.21617032755666E+03	1.00719468750000E+06
1.21617713898909E+03	1.00711275000000E+06
1.21618395032152E+03	1.00679481250000E+06
1.21619076185397E+03	1.00695200000000E+06
1.21619757328642E+03	1.00763187500000E+06
1.21620438471888E+03	1.00707881250000E+06
1.21621119615135E+03	1.00725718750000E+06
1.21621800748383E+03	1.00726787500000E+06
1.21622481901632E+03	1.00698112500000E+06
1.21623163044881E+03	1.00703675000000E+06
1.21623844188132E+03	1.00699950000000E+06
1.21624525321383E+03	1.00697793750000E+06
1.21625206474636E+03	1.00698175000000E+06
1.21625887617889E+03	1.00753637500000E+06
1.21626568761143E+03	1.00714081250000E+06
1.21627249904399E+03	1.00722156250000E+06
1.21627931037654E+03	1.00710006250000E+06
1.21628612190912E+03	1.00699837500000E+06
1.21629293334170E+03	1.00724481250000E+06
1.21629974477429E+03	1.00705931250000E+06
1.21630655630689E+03	1.00733606250000E+06
1.21631336763949E+03	1.00703781250000E+06
1.21632017907211E+03	1.00702575000000E+06
1.21632699050474E+03	1.00728525000000E+06
1.21633380193737E+03	1.00722650000000E+06
1.21634061347002E+03	1.00716525000000E+06
1.21634742480267E+03	1.00726287500000E+06
1.21635423623533E+03	1.00705681250000E+06
1.21636104766800E+03	1.00731768750000E+06
1.21636785920068E+03	1.00725143750000E+06
1.21637467053337E+03	1.00681356250000E+06
1.21638148196607E+03	1.00743975000000E+06
1.21638829339878E+03	1.00734525000000E+06
1.21639510493150E+03	1.00764918750000E+06
1.21640191626422E+03	1.00741837500000E+06
1.21640872769695E+03	1.00694625000000E+06
1.21641553912969E+03	1.00713137500000E+06
1.21642235056245E+03	1.00731718750000E+06
1.21642916199521E+03	1.00717650000000E+06
1.21643597352799E+03	1.00705543750000E+06
1.21644278486077E+03	1.00721081250000E+06
1.21644959629356E+03	1.00708931250000E+06
1.21645640772635E+03	1.00750225000000E+06
1.21646321925917E+03	1.00736481250000E+06
1.21647003069198E+03	1.00706112500000E+06
1.21647684202480E+03	1.00700331250000E+06
1.21648365345764E+03	1.00712137500000E+06
1.21649046489049E+03	1.00701493750000E+06
1.21649727642335E+03	1.00721218750000E+06
1.21650408775620E+03	1.00717912500000E+06
1.21651089918907E+03	1.00693418750000E+06
1.21651771062195E+03	1.00736168750000E+06
1.21652452215485E+03	1.00742687500000E+06
1.21653133358774E+03	1.00733518750000E+06
1.21653814492065E+03	1.00728468750000E+06
1.21654495635357E+03	1.00750025000000E+06
1.21655176778649E+03	1.00743243750000E+06
1.21655857931943E+03	1.00745656250000E+06
1.21656539075237E+03	1.00742125000000E+06
1.21657220208532E+03	1.00735743750000E+06
1.21657901351828E+03	1.00722912500000E+06
1.21658582505126E+03	1.00765712500000E+06
1.21659263648424E+03	1.00724200000000E+06
1.21659944791722E+03	1.00611993750000E+06
1.21660625925022E+03	1.00740737500000E+06
1.21661307068323E+03	1.00722537500000E+06
1.21661988221625E+03	1.00738531250000E+06
1.21662669364928E+03	1.00725587500000E+06
1.21663350498231E+03	1.00729800000000E+06
1.21664031641535E+03	1.00740331250000E+06
1.21664712794840E+03	1.00744418750000E+06
1.21665393938146E+03	1.00752850000000E+06
1.21666075081453E+03	1.00727843750000E+06
1.21666756214761E+03	1.00715793750000E+06
1.21667437368070E+03	1.00713325000000E+06
1.21668118511381E+03	1.00725806250000E+06
1.21668799654691E+03	1.00722368750000E+06
1.21669480798002E+03	1.00743650000000E+06
1.21670161931314E+03	1.00770150000000E+06
1.21670843084628E+03	1.00711100000000E+06
1.21671524227942E+03	1.00749956250000E+06
1.21672205371257E+03	1.00716362500000E+06
1.21672886524574E+03	1.00733012500000E+06
1.21673567657891E+03	1.00746187500000E+06
1.21674248801207E+03	1.00726643750000E+06
1.21674929944527E+03	1.00719556250000E+06
1.21675611097847E+03	1.00724862500000E+06
1.21676292231168E+03	1.00707100000000E+06
1.21676973374488E+03	1.00722525000000E+06
1.21677654517810E+03	1.00734893750000E+06
1.21678335661134E+03	1.00724162500000E+06
1.21679016814458E+03	1.00735362500000E+06
1.21679697947783E+03	1.00722693750000E+06
1.21680379091109E+03	1.00754381250000E+06
1.21681060234435E+03	1.00710487500000E+06
1.21681741387764E+03	1.00710512500000E+06
1.21682422531093E+03	1.00704725000000E+06
1.21683103664421E+03	1.00757406250000E+06
1.21683784807751E+03	1.00731368750000E+06
1.21684465961083E+03	1.00729718750000E+06
1.21685147104415E+03	1.00707875000000E+06
1.21685828247748E+03	1.00711712500000E+06
1.21686509381082E+03	1.00752956250000E+06
1.21687190524417E+03	1.00757450000000E+06
1.21687871677752E+03	1.00711425000000E+06
1.21688552821089E+03	1.00724612500000E+06
1.21689233954426E+03	1.00710187500000E+06
1.21689915097764E+03	1.00744762500000E+06
1.21690596251104E+03	1.00743506250000E+06
1.21691277394445E+03	1.00749981250000E+06
1.21691958537786E+03	1.00733887500000E+06
1.21692639671126E+03	1.00717275000000E+06
1.21693320814469E+03	1.00722306250000E+06
1.21694001967814E+03	1.00742043750000E+06
1.21694683111159E+03	1.00719193750000E+06
1.21695364254504E+03	1.00727343750000E+06
1.21696045387849E+03	1.00730937500000E+06
1.21696726541197E+03	1.00741037500000E+06
1.21697407684545E+03	1.00737881250000E+06
1.21698088827894E+03	1.00755618750000E+06
1.21698769981245E+03	1.00746662500000E+06
1.21699451114595E+03	1.00692143750000E+06
1.21700132257947E+03	1.00717962500000E+06
1.21700813401300E+03	1.00698825000000E+06
1.21701494544653E+03	1.00694125000000E+06
1.21702175678006E+03	1.00731187500000E+06
1.21702856831362E+03	1.00718193750000E+06
1.21703537974718E+03	1.00583381250000E+06
1.21704219118075E+03	1.00338237500000E+06
1.21704900271434E+03	1.00249950000000E+06
1.21705581404792E+03	1.00155718750000E+06
