#day                      flux
 1.215693527210118e+03 1.007359812500000e+06 
 1.215700338541887e+03 1.007585437500000e+06 
 1.215707149973670e+03 1.007355250000000e+06 
 1.215713961505462e+03 1.007185875000000e+06 
 1.215720772937268e+03 1.007472500000000e+06 
 1.215727584269072e+03 1.007185875000000e+06 
 1.215734395700892e+03 1.007680562500000e+06 
 1.215741207232713e+03 1.007566500000000e+06 
 1.215748018664548e+03 1.007382187500000e+06 
 1.215754830096397e+03 1.007653875000000e+06 
 1.215761641428246e+03 1.007410625000000e+06 
 1.215768452960117e+03 1.007478187500000e+06 
 1.215775264391996e+03 1.007425687500000e+06 
 1.215782075823881e+03 1.006981812500000e+06 
 1.215788887255767e+03 1.006984187500000e+06 
 1.215795698587666e+03 1.007115687500000e+06 
 1.215802510119582e+03 1.007241437500000e+06 
 1.215809321551496e+03 1.007271125000000e+06 
 1.215816132983433e+03 1.007185500000000e+06 
 1.215822944415377e+03 1.007257312500000e+06 
 1.215829755747320e+03 1.007083500000000e+06 
 1.215836567179271e+03 1.007156562500000e+06 
 1.215843378711244e+03 1.007176125000000e+06 
 1.215850190143225e+03 1.007320937500000e+06 
 1.215857001475211e+03 1.007064250000000e+06 
 1.215863812907206e+03 1.007260875000000e+06 
 1.215870624439216e+03 1.007095500000000e+06 
 1.215877435871233e+03 1.007177375000000e+06 
 1.215884247303249e+03 1.007007812500000e+06 
 1.215891058635279e+03 1.007293812500000e+06 
 1.215897870067325e+03 1.006970750000000e+06 
 1.215904681599379e+03 1.007201250000000e+06 
 1.215911493031446e+03 1.007031625000000e+06 
 1.215918304463521e+03 1.006919187500000e+06 
 1.215925115795595e+03 1.007213562500000e+06 
 1.215931927327678e+03 1.006975312500000e+06 
 1.215938738759774e+03 1.007066312500000e+06 
 1.215945550191886e+03 1.007044562500000e+06 
 1.215952361624004e+03 1.007121062500000e+06 
 1.215959173056137e+03 1.006995437500000e+06 
 1.215965984488270e+03 1.006651187500000e+06 
 1.215972795920417e+03 1.007198937500000e+06 
 1.215979607352572e+03 1.007242250000000e+06 
 1.215986418684734e+03 1.007304562500000e+06 
 1.215993230216904e+03 1.007273125000000e+06 
 1.216000041649088e+03 1.007043750000000e+06 
 1.216006853081279e+03 1.007034375000000e+06 
 1.216013664613485e+03 1.007150937500000e+06 
 1.216020475945697e+03 1.007026625000000e+06 
 1.216027287377910e+03 1.006951687500000e+06 
 1.216034098810138e+03 1.007040375000000e+06 
 1.216040910242380e+03 1.006732312500000e+06 
 1.216047721774630e+03 1.006888750000000e+06 
