rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_disc
3396,xi Aql,b,Radial Velocity,1,136.75,0.25,-0.25,0,0.68,,,0,0,,,0,,,,,2.8,,,0,Msini,,,,,,,,,0,0,0,0,19h54m14.88s,298.562012,+08d27m41.2s,8.461452,62.66,3.73,-4.23,0,,,,,,4780,30,-30,0,0,2.2,,,0,0,12,,,0,0,2014-05-14,2007
3383,kap CrB,b,Radial Velocity,1,1261.94,28.91,-23.97,0,2.8,0.07,-0.08,0,0.044,,,0,60,,,0,2,,,0,Mass,,,,,,,,,0,0,0,1,15h51m13.93s,237.808044,+35d39m26.6s,35.657383,30.5,0.2,-0.2,0,4.82,,0,0,V (Johnson),4788,17,-17,0,0,1.47,0.04,-0.04,0,0,5.06,0.04,-0.04,0,0,2015-10-15,2007
3381,gam Cep,b,Radial Velocity,1,903.3,1.5,-1.5,0,2.05,0.06,-0.06,0,0.049,0.034,-0.034,0,,,,,1.85,0.16,-0.16,0,Msini,,,,,,,,,0,0,0,1,23h39m20.85s,354.836884,+77d37m56.2s,77.632278,13.79,0.1,-0.1,0,3.21,0.01,0,0,V (Johnson),,,,,0,1.4,0.12,-0.12,0,0,4.9,,,0,0,2014-08-27,2003
3379,eps Tau,b,Radial Velocity,1,594.9,5.3,-5.3,0,1.93,0.03,-0.03,0,0.151,0.023,-0.023,0,,,,,7.6,0.2,-0.2,0,Msini,,,,,,,,,0,0,0,0,04h28m37.00s,67.154167,+19d10m49.6s,19.180431,47.53,1.78,-1.93,0,3.54,,0,0,V (Johnson),4901,20,,0,,2.7,0.1,,0,,13.7,0.6,,0,,2014-05-14,2006
3378,eps Eri,b,Radial Velocity,1,2502,10,-10,0,3.39,0.36,-0.36,0,0.702,0.039,-0.039,0,30.1,3.8,-3.8,0,1.55,0.24,-0.24,0,Mass,,,,,,,,,0,0,0,0,03h32m55.84s,53.232685,-09d27m29.7s,-9.458262,3.21,0,0,0,3.82,0.01,0,0,V (Johnson),,,,,0,0.83,0.05,-0.05,0,0,,,,,0,2015-09-03,2000
3375,bet Pic,b,Imaging,1,7665,7300,-730,0,9.1,5.3,-0.5,0,0.08,0.32,-0.06,0,88.9,0.7,-0.7,0,,,,,,,,,,,,,,0,0,0,1,05h47m17.09s,86.821198,-51d03m59.4s,-51.066513,19.28,0.19,-0.19,0,3.85,,0,0,V (Johnson),,,,,0,1.76,0.18,-0.17,0,0,,,,,0,2015-08-13,2008
3371,XO-5,b,Transit,1,4.1877558,0.0000006,-0.0000006,0,0.0515,0.0005,-0.0005,0,0,,,0,86.8,0.2,-0.2,0,1.19,0.03,-0.03,0,Mass,1.14,0.03,-0.03,0,1.06,0.08,-0.08,0,0,0,0,0,07h46m51.97s,116.716527,+39d05m40.5s,39.094578,260,12,-12,0,12.13,0.03,0,0,V (Johnson),5430,70,-70,0,0,1.04,0.03,-0.03,0,0,1.13,0.03,-0.03,0,0,2015-02-12,2008
3370,XO-4,b,Transit,1,4.1250828,0.000004,-0.000004,0,,,,,0,,,0,88.8,0.6,-0.6,0,1.78,0.08,-0.08,0,Mass,1.33,0.05,-0.05,0,,,,,0,0,0,0,07h21m33.17s,110.388223,+58d16m05.2s,58.268108,293,19,-19,0,10.674,,0,0,V (Johnson),5700,70,-70,0,0,1.32,0.02,-0.02,0,0,1.55,0.05,-0.05,0,0,2014-05-14,2008
3369,XO-3,b,Transit,1,3.1915239,0.0000068,-0.0000068,0,0.0454,0.00082,-0.00082,0,0.26,0.017,-0.017,0,84.2,0.54,-0.54,0,11.79,0.59,-0.59,0,Mass,1.217,0.073,-0.073,0,8.1,1.7,-1.3,0,0,0,0,1,04h21m52.70s,65.469581,+57d49m01.9s,57.817181,174,18,-18,0,,,,,,6429,100,,0,,1.21,0.07,,0,,1.38,0.08,,0,,2014-05-14,2007
3366,XO-2 N,b,Transit,1,2.61585922,0.00000028,-0.00000028,0,0.03673,0.00064,-0.00064,0,0.006,,,1,,,,,0.597,0.021,-0.021,0,Mass,1.019,0.031,-0.031,0,0.7,0.072,-0.064,0,0,0,0,0,07h48m06.47s,117.026968,+50d13m32.9s,50.2258,145.5,2.9,-3,0,11.138,0.026,0,0,V (Johnson),5332,57,-57,0,0,0.97,0.05,-0.05,0,0,1.01,0.1,-0.07,0,0,2015-01-22,2007
3365,XO-1,b,Transit,1,3.94150685,0.00000202,-0.00000202,0,0.049,0.001,-0.001,0,0,,,0,88.8,0.2,-0.2,0,0.92,0.08,-0.08,0,Mass,1.21,0.03,-0.03,0,0.64,0.05,-0.05,0,0,0,0,1,16h02m11.84s,240.54935,+28d10m10.5s,28.169586,172,12,-12,0,11.19,0.03,0,0,V (Johnson),5750,75,,0,,1.03,0.06,,0,,0.94,0.02,,0,,2014-05-14,2006
3328,WASP-7,b,Transit,1,4.954658,0.000055,-0.000043,0,0.0618,0.0014,-0.0033,0,0,,,0,89.6,0.4,-0.9,0,0.96,0.13,-0.13,0,Mass,1.33,0.093,-0.093,0,0.545,0.133,-0.133,0,0,0,0,0,20h44m10.23s,311.042609,-39d13m31.0s,-39.225273,140,15,-15,0,9.51,,0,0,V (Johnson),6400,100,,0,,1.28,0.07,-0.07,0,0,1.43,0.09,-0.09,0,0,2014-05-14,2008
3308,WASP-5,b,Transit,1,1.6284279,0.0000022,-0.0000049,0,0.0267,0.0012,-0.0008,0,0.038,0.026,-0.018,0,86.9,2.8,-0.7,0,1.58,0.13,-0.1,0,Mass,1.087,0.068,-0.071,0,1.64,0.35,-0.21,0,0,0,0,1,23h57m23.76s,359.348991,-41d16m37.7s,-41.277149,300,50,-50,0,12.3,,0,0,V (Johnson),5700,100,-100,0,0,0.96,0.13,-0.09,0,0,1.03,0.06,-0.07,0,0,2014-10-29,2008
3294,WASP-4,b,Transit,1,1.33823251,0.00000031,-0.00000031,0,,,,,0,,,0,86.85,1.76,-1.76,0,1.216,0.013,-0.013,0,Mass,1.33,0.16,-0.16,0,,,,,0,0,0,1,23h34m15.08s,353.562841,-42d03m41.1s,-42.061428,300,50,-50,0,12.5,,0,0,V (Johnson),5436,34,-34,0,0,0.89,0.01,-0.01,0,0,0.92,0.06,-0.06,0,0,2015-08-27,2007
3284,WASP-3,b,Transit,1,1.846835,0.000002,-0.000002,0,0.03151,0.0015,-0.000987,0,0,,,0,84.93,1.32,-0.78,0,1.76,0.08,-0.14,0,Mass,1.29,0.05,-0.07,0,1.037,0.372,-0.12,0,0,0,0,1,18h34m31.63s,278.631793,+35d39m41.5s,35.661533,220,,,0,10.5,,0,0,V (Johnson),6400,100,,0,,1.24,0.11,,0,,1.31,0.12,,0,,2014-05-14,2007
3274,WASP-2,b,Transit,1,2.152226,,,0,0.03138,0.0013,-0.00154,0,,,,,84.81,0.35,-0.27,0,0.915,0.09,-0.093,0,Mass,1.071,0.08,-0.083,0,0.92,0.27,-0.2,0,0,0,0,1,20h30m54.13s,307.725542,+06d25m46.3s,6.429536,166,30,-30,0,11.88,0.1,0,0,V (Johnson),5200,200,-200,0,0,0.89,0.12,-0.12,0,0,0.84,0.06,-0.07,0,0,2014-10-29,2007
3267,WASP-14,b,Transit,1,2.243752,0.00001,-0.00001,0,0.036,0.001,-0.001,0,0.091,0.003,-0.003,0,84.32,0.67,-0.57,0,7.341,0.508,-0.496,0,Mass,1.281,0.075,-0.082,0,4.656,0.846,-0.658,0,0,0,0,1,14h33m06.35s,218.276477,+21d53m41.0s,21.894714,160,20,-20,0,9.75,,0,0,V (Johnson),6475,100,,0,,1.21,0.13,,0,,1.31,0.07,,0,,2014-05-14,2008
3257,WASP-12,b,Transit,1,1.0914203,0.00000014,-0.00000014,0,0.0234,0.00056,-0.0005,0,0,,,0,83.37,0.72,-0.64,0,1.47,0.076,-0.069,0,Mass,1.9,0.057,-0.055,0,0.266,0.015,-0.014,0,0,0,0,0,06h30m32.79s,97.63664,+29d40m20.2s,29.672291,,,,,11.69,0.08,0,0,V (Johnson),6360,130,-140,0,0,1.43,0.11,-0.09,0,0,1.66,0.05,-0.04,0,0,2016-09-15,2008
3251,WASP-11,b,Transit,1,3.7224747,0.0000065,-0.0000065,0,0.0435,0.0006,-0.0006,0,0,,,0,88.6,0.5,-0.4,0,0.487,0.018,-0.018,0,Mass,1.005,0.032,-0.027,0,0.594,0.052,-0.052,0,0,0,0,0,03h09m28.55s,47.368964,+30d40m24.9s,30.673594,121.7,4.2,-4.2,0,11.6,,0,0,V (Johnson),4980,60,,0,,0.83,0.03,,0,,0.79,0.02,,0,,2014-05-14,2008
3245,WASP-10,b,Transit,1,3.0927616,0.0000112,-0.0000112,0,0.03781,0.00067,-0.00047,0,,,,,88.49,0.22,-0.17,0,3.15,0.13,-0.11,0,Mass,1.08,0.02,-0.02,0,4.14,0.27,-0.27,0,0,0,0,0,23h15m58.30s,348.992912,+31d27m46.3s,31.462852,90,20,-20,0,12.7,,0,0,V (Johnson),4675,100,,0,,0.75,0.04,,0,,0.7,0.01,,0,,2014-05-14,2008
3244,WASP-1,b,Transit,1,2.5199454,0.0000005,-0.0000005,0,0.03889,0.00053,-0.00073,0,0,,,0,90,1.3,-1.3,0,0.854,0.057,-0.052,0,Mass,1.483,0.024,-0.034,0,0.348,0.029,-0.032,0,0,0,0,1,00h20m40.07s,5.166978,+31d59m24.0s,31.98999,408,27,-27,0,11.79,,0,0,V (Johnson),,,,,0,1.24,0.05,-0.07,0,0,1.47,0.02,-0.03,0,0,2014-05-14,2007
3241,V0391 Peg,b,Pulsation Timing Variations,1,1170,44,-44,0,1.7,0.1,-0.1,0,0,,,0,,,,,3.2,0.7,-0.7,0,Msini,,,,,,,,,0,0,0,0,22h04m12.11s,331.05044,+26d25m07.9s,26.41886,1400,180,-180,0,14.57,0.02,0,0,V (Johnson),29300,500,-500,0,0,0.5,0.05,-0.05,0,0,0.23,0.03,-0.03,,0,2015-05-14,2007
3238,USco CTIO 108,b,Imaging,1,,,,,670,,,0,,,,,,,,,14,2,-8,0,Mass,,,,,,,,,0,0,0,0,16h05m54.08s,241.47532,-18d18m44.4s,-18.312332,,,,,,,,,,2700,100,-100,0,0,0.06,0.02,-0.02,0,0,,,,,0,2015-05-14,2008
3236,TrES-4,b,Transit,1,3.55392771,0.00000047,-0.00000047,0,0.0516,0.0005,-0.0005,0,0.016,,,1,83.07,0.51,-0.44,0,0.494,0.035,-0.035,0,Mass,1.838,0.081,-0.09,0,0.099,0.016,-0.013,0,0,0,0,0,17h53m13.04s,268.304354,+37d12m42.7s,37.211849,492,39,-39,0,11.592,0.004,0,0,V (Johnson),6295,65,-65,0,0,1.45,0.05,-0.05,0,0,1.81,0.08,-0.08,0,0,2016-05-05,2007
3235,TrES-3,b,Transit,1,1.30618581,,,0,0.02282,0.00023,-0.0004,0,0,,,0,81.85,0.16,-0.16,0,1.91,0.075,-0.08,0,Mass,1.336,0.031,-0.037,0,0.994,0.095,-0.078,0,0,0,0,1,17h52m07.02s,268.029265,+37d32m46.2s,37.546154,228,12,-12,0,12.402,0.006,0,0,V (Johnson),5650,75,,0,,0.93,0.05,,0,,0.83,0.02,,0,,2014-05-14,2007
3234,TrES-2,b,Transit,1,2.47061317,0.00000009,-0.00000009,0,0.0367,0.0014,-0.0013,0,,,,,83.872,0.02,-0.018,0,1.197,0.068,-0.068,0,Mass,1.247,0.05,-0.045,0,0.8,0.1,-0.1,0,0,1,0,3,19h07m14.03s,286.808473,+49d18m59.0s,49.316402,213,11,-11,0,11.411,0.005,0,0,V (Johnson),5850,50,-50,0,0,0.98,0.06,-0.06,0,0,1,0.04,-0.03,0,0,2015-10-15,2006
3233,TrES-1,b,Transit,1,3.030065,,,0,0.03925,0.00056,-0.0006,0,,,,,90,0,-1.1,0,0.752,0.047,-0.046,0,Mass,1.067,0.022,-0.021,0,0.769,0.069,-0.064,0,0,0,0,0,19h04m09.85s,286.041062,+36d37m57.5s,36.632629,150,,,0,11.76,0.01,0,0,V (Johnson),5230,50,-50,0,0,0.88,0.04,-0.04,0,0,0.81,0.02,-0.02,0,0,2014-10-15,2004
3226,SWEEPS-4,b,Transit,1,4.2,,,0,0.055,,,0,,,,,,,,,3.8,,,0,Mass,0.81,0.1,-0.1,0,,,,,0,0,0,0,17h58m53.92s,269.724667,-29d11m20.6s,-29.189056,8500,,,0,18.8,,0,0,V (Johnson),,,,,,1.24,,,0,,1.18,,,0,,2014-05-14,2006
3225,SWEEPS-11,b,Transit,1,1.796,,,0,0.03,,,0,,,,,,,,,9.7,5.6,-4.5,0,Mass,1.13,0.21,-0.21,0,,,,,0,0,0,0,17h59m02.00s,269.758333,-29d11m53.5s,-29.198194,8500,,,0,19.83,,0,0,V (Johnson),,,,,,1.1,,,0,,1.45,,,0,,2014-05-14,2006
3212,PSR B1620-26,b,Pulsar Timing,1,,,,,23,,,0,,,,,,,,,2.5,1,-1,0,Mass,,,,,,,,,0,0,0,0,16h23m38.22s,245.909262,-26d31m53.7s,-26.531594,,,,,,,,,,,,,,0,1.35,,,0,0,,,,,0,2015-04-30,2003
3205,Oph 11,b,Imaging,1,7300000,3650000,-3650000,0,243,55,-55,0,,,,,,,,,14,6,-5,0,Mass,,,,,,,,,0,0,0,1,16h22m25.21s,245.605058,-24d05m13.9s,-24.087208,125,25,-25,0,,,,,,2375,175,-175,0,0,0.02,0,-0.01,0,0,,,,,0,2016-03-10,2006
3204,OGLE2-TR-L9,b,Transit,1,2.4855335,0.0000007,-0.0000007,0,0.0308,0.0005,-0.0005,0,,,,,79.8,0.3,-0.3,0,4.5,1.5,-1.5,0,Mass,1.61,0.04,-0.04,0,,,,,0,0,0,0,11h07m55.18s,166.979921,-61d08m46.5s,-61.146263,,,,,,,,,,6933,58,,0,,1.52,0.08,,0,,1.53,0.04,,0,,2014-05-14,2008
3203,OGLE-TR-211,b,Transit,1,3.67724,0.00003,-0.00003,0,0.051,0.001,-0.001,0,0,,,0,87.2,,,-1,1.03,0.2,-0.2,0,Mass,1.36,0.18,-0.09,0,,,,,0,0,0,0,10h40m14.39s,160.059951,-62d27m20.2s,-62.455601,,,,,,,,,,6325,91,,0,,1.33,0.05,,0,,1.64,0.21,,0,,2014-05-14,2007
3202,OGLE-TR-182,b,Transit,1,3.9791,0.00001,-0.00001,0,0.051,0.001,-0.001,0,0,,,0,85.7,0.3,-0.3,0,1.01,0.15,-0.15,0,Mass,1.13,0.24,-0.08,0,,,,,0,0,0,0,11h09m18.71s,167.327963,-61d05m42.9s,-61.095257,,,,,,,,,,5924,64,,0,,1.14,0.05,,0,,1.14,0.23,,0,,2014-05-14,2007
3201,OGLE-TR-132,b,Transit,1,1.689868,,,0,0.03035,0.00057,-0.00053,0,,,,,83.4,2.9,-1.3,0,1.18,0.14,-0.13,0,Mass,1.2,0.15,-0.11,0,0.85,0.32,-0.26,0,0,0,0,1,10h50m34.72s,162.644667,-61d57m25.9s,-61.957194,2500,250,-250,0,15.72,,0,0,V (Johnson),6210,75,-75,0,0,1.3,0.07,-0.07,0,0,1.32,0.17,-0.12,0,0,2014-10-29,2004
3200,OGLE-TR-113,b,Transit,1,1.4324752,,,0,0.02289,0.00016,-0.00015,0,,,,,87.8,1.6,-0.62,0,1.26,0.16,-0.16,0,Mass,1.093,0.028,-0.019,0,1.2,0.17,-0.16,0,0,0,0,1,10h52m24.40s,163.101667,-61d26m48.5s,-61.446806,600,,,0,14.42,,0,0,V (Johnson),4790,75,,0,,0.78,0.02,,0,,0.77,0.02,,0,,2014-05-14,2004
3199,OGLE-TR-111,b,Transit,1,4.0144463,0.000001,-0.000001,0,0.0473,0.0015,-0.0014,0,,,,,88.3,0.3,-0.2,0,,,,,,1.019,0.026,-0.026,0,,,,,0,0,0,2,10h53m17.91s,163.324625,-61d24m20.3s,-61.405639,,,,,15.55,,0,0,V (Johnson),5040,80,,0,,0.85,0.06,,0,,0.83,0.04,,0,,2016-02-25,2004
3198,OGLE-TR-10,b,Transit,1,3.101278,,,0,0.0434,0.0013,-0.0015,0,,,,,90,0,-3.9,0,0.62,0.14,-0.14,0,Mass,1.25,0.14,-0.12,0,0.4,0.18,-0.12,0,0,0,0,3,17h51m28.25s,267.867708,-29d52m34.9s,-29.876361,,,,,14.93,,0,0,V (Johnson),5950,130,,0,,1.14,0.12,,0,,1.17,0.13,,0,,2014-05-14,2004
3197,OGLE-TR-056,b,Transit,1,1.2119189,,,0,0.02383,0.00046,-0.00051,0,,,,,77.6,0.91,-1,0,1.39,0.18,-0.17,0,Mass,1.363,0.092,-0.09,0,0.68,0.18,-0.14,0,0,0,0,1,17h56m35.51s,269.147958,-29d32m21.2s,-29.539222,,,,,15.3,,0,0,V (Johnson),6050,100,,0,,1.23,0.08,,0,,1.36,0.09,,0,,2014-05-14,2002
3177,OGLE 2006-BLG-109L,b,Microlensing,2,1788.5,584,-547.5,0,2.3,0.5,-0.5,0,,,,,,,,,0.73,0.06,-0.06,0,Mass,,,,,,,,,0,0,0,0,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510,110,-120,0,,,,,,,,,,0,0.51,0.05,-0.04,0,0,,,,,0,2014-11-05,2008
3178,OGLE 2006-BLG-109L,c,Microlensing,2,4927.5,3540.5,-1752,0,4.5,2.1,-1,0,0.15,0.17,-0.1,0,64,4,-7,0,0.27,0.02,-0.02,0,Mass,,,,,,,,,0,0,0,0,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510,110,-120,0,,,,,,,,,,0,0.51,0.05,-0.04,0,0,,,,,0,2014-11-05,2008
3176,OGLE 2005-BLG-71L,b,Microlensing,1,,,,,3.6,0.2,-0.2,0,,,,,,,,,3.8,0.4,-0.4,0,Mass,,,,,,,,,0,0,0,0,17h50m09.77s,267.540708,-34d40m23.5s,-34.673194,3200,400,-400,0,,,,,,,,,,0,0.46,0.04,-0.04,0,0,,,,,0,2014-10-29,2005
3175,OGLE 2005-BLG-390L,b,Microlensing,1,3285,3285,-1095,0,2.6,1.5,-0.6,0,,,,,,,,,0.017,0.017,-0.008,0,Mass,,,,,,,,,0,0,0,0,17h54m19.19s,268.579958,-30d22m38.3s,-30.377306,6600,1000,-1000,0,,,,,,,,,,0,0.22,0.21,-0.11,0,0,,,,,0,2014-10-29,2005
3174,OGLE 2005-BLG-169L,b,Microlensing,1,,,,,3.5,0.3,-0.3,0,,,,,,,,0,0.04436,0.00283,-0.00283,0,Mass,,,,,,,,,0,0,0,2,18h06m05.32s,271.522167,-30d43m57.5s,-30.732639,4100,400,-400,0,,,,,,,,,,0,0.69,0.02,-0.02,0,0,,,,,0,2015-11-19,2006
3173,OGLE 2003-BLG-235L,b,Microlensing,1,,,,,4.3,2.5,-0.8,0,,,,,,,,,2.6,0.8,-0.6,0,Mass,,,,,,,,,0,0,0,0,18h05m16.35s,271.318125,-28d53m42.0s,-28.895,5800,600,-700,0,,,,,,,,,,0,0.63,0.07,-0.09,0,0,,,,,0,2016-02-25,2004
3169,NGC 4349 127,b,Radial Velocity,1,677.8,6.2,-6.2,0,2.38,,,0,0.19,0.07,-0.07,0,,,,,19.8,,,0,Msini,,,,,,,,,0,0,0,0,12h24m35.47s,186.147811,-61d49m12.0s,-61.820004,2200,,,0,10.88,,0,0,V (Johnson),,,,,0,3.9,0.3,-0.3,0,0,,,,,0,2015-05-14,2007
3149,MOA 2007-BLG-400L,b,Microlensing,1,,,,,0.72,0.38,-0.16,0,,,,,,,,,0.83,0.49,-0.31,0,Mass,,,,,,,,,0,0,0,0,18h09m41.98s,272.424917,-29d13m27.0s,-29.224153,5800,600,-800,0,,,,,,,,,,0,0.3,0.19,-0.12,0,0,,,,,0,2014-10-29,2008
3148,MOA 2007-BLG-192L,b,Microlensing,1,,,,,0.62,0.22,-0.16,0,,,,,,,,,0.01,0.015,-0.005,0,Mass,,,,,,,,,0,0,0,0,18h08m03.80s,272.015825,-27d09m00.3s,-27.150075,1000,400,-400,0,,,,,,,,,,0,0.06,0.03,-0.02,0,0,,,,,0,2014-10-29,2008
3147,Lupus-TR-3,b,Transit,1,3.91405,0.00004,-0.00004,0,0.0464,0.0007,-0.0007,0,0,,,0,88.3,1.3,-0.8,0,0.81,0.18,-0.18,0,Mass,0.89,0.07,-0.07,0,1.4,0.4,-0.4,0,0,0,0,0,15h30m18.62s,232.577571,-42d58m47.7s,-42.979908,2000,,,0,,,,,,5000,150,,0,,0.87,0.04,,0,,0.82,0.05,,0,,2014-05-14,2007
689,HR 8799,b,Imaging,4,170000,,,0,68,,,0,,,,,,,,,7,4,-2,0,Mass,1.2,0.1,-0.1,0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,1.1,-1.1,0,5.953,0.01,0,0,V (Johnson),,,,,0,1.51,0.04,-0.02,0,0,,,,,0,2014-05-14,2008
690,HR 8799,c,Imaging,4,69000,,,0,38,,,0,,,,,,,,,10,3,-3,0,Mass,1.2,0.1,0,0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,1.1,-1.1,0,5.953,0.01,0,0,V (Johnson),,,,,0,1.51,0.04,-0.02,0,0,,,,,0,2014-05-14,2008
691,HR 8799,d,Imaging,4,37000,,,0,24,,,0,,,,,,,,,10,3,-3,0,Mass,1.2,0.1,0,0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,1.1,-1.1,0,5.953,0.01,0,0,V (Johnson),,,,,0,1.51,0.04,-0.02,0,0,,,,,0,2014-05-14,2008
686,HN Peg,b,Imaging,1,,,,,773,13,-13,0,,,,,,,,,21.9987,9.42803,-9.42803,0,Mass,1.051,0.136,-0.058,0,,,,,0,0,0,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.39,0.28,-0.29,0,5.95,0.02,0,0,V (Johnson),,,,,,,,,,,,,,,,2014-05-14,2006
680,HIP 75458,b,Radial Velocity,1,511.098,0.089,-0.089,0,1.275,0.074,-0.074,0,0.7124,0.0039,-0.0039,0,,,,,8.82,0.72,-0.72,0,Msini,,,,,,,,,0,0,0,0,15h24m55.77s,231.232391,+58d57m57.8s,58.966064,31.33,0.49,-0.51,0,3.29,,0,0,V (Johnson),4530,100,-100,0,0,1.05,,,0,0,,,,,0,2014-07-23,2002
658,HIP 14810,b,Radial Velocity,3,6.673855,0.000019,-0.000019,0,0.0692,0.004,-0.004,0,0.1427,0.00094,-0.00094,0,,,,,3.88,0.32,-0.32,0,Msini,,,,,,,,,0,0,0,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,52.88,3.77,-4.39,0,8.52,,0,0,V (Johnson),5485,44,-44,0,0,0.99,0.04,-0.04,0,0,1,0.06,-0.06,0,0,2015-05-14,2005
659,HIP 14810,c,Radial Velocity,3,147.73,0.065,-0.065,0,0.545,0.031,-0.031,0,0.164,0.012,-0.012,0,,,,,1.28,0.1,-0.1,0,Msini,,,,,,,,,0,0,0,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,52.88,3.77,-4.39,0,8.52,,0,0,V (Johnson),5485,44,-44,0,0,0.99,0.04,-0.04,0,0,1,0.06,-0.06,0,0,2015-05-14,2006
