rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_disc
3393,ups And,b,Radial Velocity,3,4.617033,0.000023,-0.000023,0,0.059222,0,0,0,0.0215,0.0007,-0.0007,0,,,,,0.6876,0.0044,-0.0044,0,Msini,,,,,,,,,0,0,0,0,01h36m47.84s,24.199345,+41d24m19.7s,41.40546,13.47,0.13,-0.13,0,4.1,,0,0,V (Johnson),,,,,0,1.3,,,0,0,1.56,,,0,0,2014-05-14,1996
3394,ups And,c,Radial Velocity,3,241.258,0.064,-0.064,0,0.827774,0.000015,-0.000015,0,0.2596,0.0079,-0.0079,0,,,,,1.981,0.019,-0.019,0,Msini,,,,,,,,,0,0,0,0,01h36m47.84s,24.199345,+41d24m19.7s,41.40546,13.47,0.13,-0.13,0,4.1,,0,0,V (Johnson),,,,,0,1.3,,,0,0,1.56,,,0,0,2014-05-14,1999
3395,ups And,d,Radial Velocity,3,1276.46,0.57,-0.57,0,2.51329,0.00075,-0.00075,0,0.2987,0.0072,-0.0072,0,,,,,4.132,0.029,-0.029,0,Msini,,,,,,,,,0,0,0,0,01h36m47.84s,24.199345,+41d24m19.7s,41.40546,13.47,0.13,-0.13,0,4.1,,0,0,V (Johnson),,,,,0,1.3,,,0,0,1.56,,,0,0,2014-05-14,1999
3391,tau Boo,b,Radial Velocity,1,3.3124568,0.0000069,-0.0000069,0,0.049,0.003,-0.003,0,0.011,0.006,-0.006,0,,,,,4.32,0.04,-0.04,0,Msini,,,,,,,,,0,0,0,0,13h47m15.74s,206.815598,+17d27m24.9s,17.456905,15.6,0.17,-0.17,0,4.5,,0,1,V (Johnson),6400,,,0,0,1.34,0.05,-0.05,0,0,1.46,0.05,-0.05,0,0,2015-04-16,1996
3210,PSR B1257+12,c,Pulsar Timing,3,66.5419,0.0001,-0.0001,0,0.36,,,0,0.0186,0.0002,-0.0002,0,,,,,0.01353,0.00063,-0.00063,0,Mass,,,,,,,,,0,0,0,0,13h00m03.58s,195.014903,+12d40m56.5s,12.682353,600,100,-100,0,,,,,,,,,,0,,,,,0,,,,,0,2015-04-30,1992
3211,PSR B1257+12,d,Pulsar Timing,3,98.2114,0.0002,-0.0002,0,0.46,,,0,,,,,,,,,0.01227,0.00063,-0.00063,0,Mass,,,,,,,,,0,0,0,0,13h00m03.58s,195.014903,+12d40m56.5s,12.682353,600,100,-100,0,,,,,,,,,,0,,,,,0,,,,,0,2015-04-30,1992
3209,PSR B1257+12,b,Pulsar Timing,3,25.262,0.003,-0.003,0,0.19,,,0,0,,,0,,,,,0.00006,0.00001,-0.00001,0,Mass,,,,,,,,,0,0,0,0,13h00m03.58s,195.014903,+12d40m56.5s,12.682353,600,100,-100,0,,,,,,,,,,0,,,,,0,,,,,0,2015-04-30,1994
688,HR 810,b,Radial Velocity,1,312,5,-5,0,0.91,,,0,0.15,0.05,-0.05,0,,,,,2.13,,,0,Msini,,,,,,,,,0,0,0,0,02h42m33.47s,40.639442,-50d48m01.1s,-50.800293,17.24,0.16,-0.17,0,5.41,,0,0,V (Johnson),,,,,,,,,,,,,,,,2015-04-30,1999
633,HD 89744,b,Radial Velocity,1,256.78,0.05,-0.05,0,0.918,0.01,-0.01,0,0.673,0.007,-0.007,0,,,,,8.44,0.23,-0.23,0,Msini,,,,,,,,,0,0,0,0,10h22m10.56s,155.544006,+41d13m46.3s,41.22953,39,1.1,-1.1,0,5.72,0.009,0,0,V (Johnson),6291,44,-44,0,0,1.56,0.05,-0.05,0,0,,,,,0,2014-05-14,1999
605,HD 75289,b,Radial Velocity,1,3.509267,0.000064,-0.000064,0,0.0482,0.0028,-0.0028,0,0.034,0.029,-0.029,0,,,,,0.467,0.041,-0.041,0,Msini,,,,,,,,,0,0,0,0,08h47m40.39s,131.918289,-41d44m12.5s,-41.736794,28.94,0.46,-0.48,0,6.35,,0,0,V (Johnson),6095,,,0,0,1.21,,,0,0,,,,,0,2015-04-16,1999
