HJD RV error
2454602.85804 -187.65  3.64
2454603.10267 -198.11  3.64
2454603.86302 -142.90  3.70
2454604.09555  -81.34  4.05
2454633.99342  212.00  4.03
2454634.93451  -93.25  3.85
2454635.98054 -190.25  3.56
2454637.96377  216.71  3.88
2454639.01428  106.97  4.13
2454641.98654  120.88  4.34
2454777.70612  156.19  4.31
2454955.08248 -202.91  3.12
2455017.01280  147.86  4.16
2455106.77227   -9.18  4.90
2455314.88380   32.28  4.48
2455314.88672   32.88  4.58
2455314.88974   42.79  4.53
2455314.89306   22.68  4.57
2455314.89643   25.76  4.28
2455314.89990   23.72  4.37
2455314.90320   14.87  4.43
2455314.90650   23.30  4.02
2455314.90990   10.98  4.08
2455314.91335   17.82  4.25
2455314.91700   35.88  4.64
2455314.92094   31.52  4.58
2455314.92539   22.72  4.19
2455314.93018   18.06  4.14
2455314.93420   25.89  4.54
2455314.93864   24.12  4.21
2455314.94221   21.73  4.37
2455314.94635   22.15  4.08
2455314.95027   13.11  4.03
2455314.95410    6.09  4.61
2455314.95824   11.07  4.04
2455314.96201   -5.12  4.55
2455314.96597    7.82  4.25
2455314.97047   -4.04  4.40
2455314.97419  -28.87  4.39
2455314.97774   -5.98  4.15
2455314.98137   -8.95  4.43
2455314.98522  -20.42  4.61
2455314.98886    0.47  4.44
2455314.99259   -5.95  4.37
2455314.99634  -13.12  3.84
2455315.00030  -12.70  4.08
2455315.00416  -20.82  4.26
2455315.00772   -3.77  4.11
2455315.01105  -12.75  4.19
2455315.01453  -30.69  4.23
2455315.01801  -21.10  3.67
2455315.02107  -17.01  4.53
2455315.02427  -14.44  4.00
2455315.02751   -7.31  4.17
2455315.03117  -21.09  4.24
2455315.06643  -28.12  4.36
2455315.06991  -20.81  3.86
2455315.07420  -41.51  4.05
