JD	Intensity
2456733.860549	0.99959996
2456733.862169	1.00129851
2456733.863801	0.99839659
2456733.865422	0.99879501
2456733.867042	0.9998935
2456733.868663	0.99899179
2456733.870295	1.00059031
2456733.871927	1.00018864
2456733.873547	1.00008701
2456733.875168	0.99998538
2456733.8768	1.00088382
2456733.87842	0.99898205
2456733.880052	0.99578016
2456733.881672	0.99657861
2456733.883293	0.99467684
2456733.884925	0.99277508
2456733.886545	0.99067331
2456733.888166	0.98947162
2456733.889798	0.98446965
2456733.891765	0.98346765
2456733.894092	0.98246529
2456733.896418	0.98046288
2456733.898733	0.97926053
2456733.90106	0.97895824
2456733.903386	0.97845593
2456733.905701	0.97945372
2456733.908028	0.9786514
2456733.910354	0.97704904
2456733.912322	0.97824718
2456733.913954	0.97834559
2456733.915748	0.97694377
2456733.917727	0.97804188
2456733.919706	0.97663989
2456733.921674	0.97863804
2456733.923653	0.9783361
2456733.925795	0.97753397
2456733.928121	0.97633166
2456733.930447	0.97642939
2456733.932774	0.97742715
2456733.934915	0.97602502
2456733.936894	0.9766231
2456733.938862	0.97792121
2456733.940841	0.97721926
2456733.942809	0.97681733
2456733.944777	0.97751542
2456733.946756	0.97731348
2456733.94855	0.97701172
2456733.950182	0.97701013
2456733.951802	0.97710855
2456733.953434	0.97710695
2456733.955055	0.98040539
2456733.956675	0.97580378
2456733.958307	0.97700219
2456733.959928	0.97660061
2456733.961548	0.97909902
2456733.96318	0.97779743
2456733.964801	0.97829584
2456733.966433	0.97829424
2456733.968053	0.97849266
2456733.969685	0.97849106
2456733.971306	0.97978946
2456733.972938	0.98028786
2456733.974558	0.98098626
2456733.976178	0.98198465
2456733.97781	0.984983
2456733.979431	0.98158147
2456733.981063	0.98377982
2456733.982683	0.98737815
2456733.984304	0.98807653
2456733.985936	0.99037486
2456733.987556	0.99357317
2456733.989177	0.99457153
2456733.990809	0.99756981
2456733.992441	0.99636822
2456733.994061	0.99896652
2456733.995693	0.9986649
2456733.997313	1.0010632
2456733.998934	0.99876166
2456734.000566	0.99856004
2456734.002186	0.99945839
2456734.003818	0.99935676
2456734.005439	1.00135505
2456734.007071	0.99865354
2456734.008691	0.99935189
2456734.010323	0.99945025
2456734.011955	0.99934863
2456734.013576	1.00114691
2456734.015196	1.00064532
2456734.016828	1.00054369
2456734.01846	1.00164199
2456734.02008	1.00044044
2456734.021713	1.0006388
2456734.023333	1.00003721
2456734.024965	1.00023557
2456734.026585	1.0010339
2456734.028217	1.00103226
2456734.029838	1.00003071
2456734.03147	0.99952911
2456734.03309	1.00012745
2456734.034722	1.00072577
2456734.036343	0.99952424
2456734.037963	0.99902266

